iter,loss,rmse
1,0.9818,2.2803
2,1.2954,2.2322
3,1.4904,2.5508
4,1.5675,2.0917
5,1.6181,2.1850
6,1.6516,2.1968
7,1.6732,2.1637
8,1.6880,2.0045
9,1.6988,1.9536
10,1.7061,2.0028
11,1.7105,2.1101
12,1.7121,1.9730
13,1.7120,1.8095
14,1.7108,1.8571
15,1.7083,1.8493
16,1.7055,1.8192
17,1.7018,1.7281
18,1.6981,1.6662
19,1.6932,1.6261
20,1.6891,1.6474
21,1.6842,1.6897
22,1.6798,1.5638
23,1.6755,1.2901
24,1.6708,1.6443
25,1.6675,1.7270
26,1.6621,1.4552
27,1.6571,1.1846
28,1.6520,1.2860
29,1.6471,1.4779
30,1.6423,1.4363
31,1.6371,1.2984
32,1.6317,1.2159
33,1.6271,1.1574
34,1.6219,1.3241
35,1.6172,1.4431
36,1.6116,1.1841
37,1.6073,1.0251
38,1.6016,1.0717
39,1.5973,1.3883
40,1.5927,1.3538
41,1.5871,1.0905
42,1.5820,1.0422
43,1.5770,1.1111
44,1.5720,1.3096
45,1.5664,1.1475
46,1.5612,1.0116
47,1.5556,1.1003
48,1.5503,1.1576
49,1.5448,1.1125
50,1.5395,0.9893
51,1.5340,1.0674
52,1.5283,1.1160
53,1.5230,1.0489
54,1.5176,1.1081
55,1.5120,1.0578
56,1.5067,1.0043
57,1.5010,1.0635
58,1.4954,1.0569
59,1.4896,1.0024
60,1.4841,1.0115
61,1.4787,1.1000
62,1.4732,1.0701
63,1.4679,1.0012
64,1.4625,1.0000
65,1.4569,1.0024
66,1.4514,0.9949
67,1.4461,1.0005
68,1.4409,1.0898
69,1.4355,1.0052
70,1.4303,1.0025
71,1.4249,1.0133
72,1.4199,1.0292
73,1.4147,1.0128
74,1.4097,1.0042
75,1.4046,1.0069
76,1.3996,1.0559
77,1.3947,1.0107
78,1.3899,0.9955
79,1.3850,0.9931
80,1.3803,1.0251
81,1.3756,1.0289
82,1.3710,1.0025
83,1.3664,1.0166
84,1.3618,1.0214
85,1.3573,1.0526
86,1.3531,1.0576
87,1.3490,1.0668
88,1.3447,1.0403
89,1.3406,1.0306
90,1.3364,1.0234
91,1.3324,1.0508
92,1.3285,1.0453
93,1.3246,1.0473
94,1.3210,1.0599
95,1.3172,1.0412
96,1.3135,1.0768
97,1.3098,1.0519
98,1.3062,1.0561
99,1.3027,1.0312
100,1.2994,1.0825
101,1.2960,1.0249
102,1.2926,1.0089
103,1.2894,1.0686
104,1.2863,1.0661
105,1.2834,1.0602
106,1.2804,1.0667
107,1.2776,1.0842
108,1.2748,1.0595
109,1.2718,1.0554
110,1.2689,1.0369
111,1.2659,1.0434
112,1.2631,1.0631
113,1.2604,1.0568
114,1.2577,1.0746
115,1.2549,1.0758
116,1.2522,1.0459
117,1.2495,1.0511
118,1.2469,1.0807
119,1.2443,1.0408
120,1.2417,1.0586
121,1.2395,1.0653
122,1.2370,1.0755
123,1.2347,1.1005
124,1.2324,1.0822
125,1.2302,1.1020
126,1.2279,1.0882
127,1.2258,1.0874
128,1.2235,1.0691
129,1.2216,1.0898
130,1.2196,1.0946
131,1.2174,1.0769
132,1.2152,1.0676
133,1.2131,1.0913
134,1.2109,1.0866
135,1.2089,1.0852
136,1.2068,1.1001
137,1.2048,1.0926
138,1.2028,1.0731
139,1.2008,1.0677
140,1.1988,1.0696
141,1.1968,1.0591
142,1.1949,1.0627
143,1.1929,1.0402
144,1.1911,1.0503
145,1.1894,1.0547
146,1.1875,1.0266
147,1.1856,1.0548
148,1.1838,1.0364
149,1.1820,1.0870
150,1.1803,1.0682
151,1.1786,1.0769
152,1.1769,1.0609
153,1.1752,1.0535
154,1.1735,1.0555
155,1.1718,1.0509
156,1.1701,1.0472
157,1.1685,1.0414
158,1.1668,1.0378
159,1.1652,1.0466
160,1.1636,1.0330
161,1.1621,1.0616
162,1.1605,1.0598
163,1.1589,1.0332
164,1.1575,1.0496
165,1.1559,1.0316
166,1.1546,1.0576
167,1.1532,1.0621
168,1.1517,1.0321
169,1.1503,1.0613
170,1.1489,1.0696
171,1.1476,1.0745
172,1.1462,1.0614
173,1.1448,1.0509
174,1.1435,1.0621
175,1.1421,1.0621
176,1.1407,1.0453
177,1.1393,1.0255
178,1.1381,1.0727
179,1.1367,1.0409
180,1.1354,1.0368
181,1.1341,1.0629
182,1.1328,1.0381
183,1.1315,1.0390
184,1.1302,1.0229
185,1.1289,1.0400
186,1.1276,1.0355
187,1.1264,1.0212
188,1.1251,1.0306
189,1.1239,1.0174
190,1.1227,1.0206
191,1.1214,1.0013
192,1.1202,1.0243
193,1.1190,1.0265
194,1.1178,1.0320
195,1.1166,1.0281
196,1.1157,1.0199
197,1.1146,1.0349
198,1.1134,1.0159
199,1.1123,1.0192
200,1.1112,1.0371
201,1.1101,1.0508
202,1.1090,1.0351
203,1.1079,1.0252
204,1.1068,1.0316
205,1.1057,1.0379
206,1.1047,1.0353
207,1.1036,1.0394
208,1.1025,1.0189
209,1.1015,1.0244
210,1.1004,1.0096
211,1.0994,1.0231
212,1.0984,1.0067
213,1.0973,1.0184
214,1.0964,1.0268
215,1.0954,1.0222
216,1.0944,0.9949
217,1.0934,0.9955
218,1.0924,1.0047
219,1.0915,1.0199
220,1.0905,1.0262
221,1.0895,1.0158
222,1.0886,1.0200
223,1.0876,1.0288
224,1.0867,1.0421
225,1.0857,1.0234
226,1.0848,1.0241
227,1.0839,1.0135
228,1.0829,1.0076
229,1.0821,1.0225
230,1.0811,0.9980
231,1.0802,1.0123
232,1.0793,1.0175
233,1.0784,1.0093
234,1.0775,1.0252
235,1.0766,0.9808
236,1.0757,0.9975
237,1.0748,0.9969
238,1.0740,1.0114
239,1.0731,1.0236
240,1.0722,1.0035
241,1.0714,0.9974
242,1.0706,1.0156
243,1.0697,1.0020
244,1.0689,1.0161
245,1.0681,1.0048
246,1.0673,0.9970
247,1.0665,1.0095
248,1.0657,1.0081
249,1.0649,1.0048
250,1.0641,1.0036
251,1.0633,1.0039
252,1.0625,1.0031
253,1.0618,1.0060
254,1.0610,1.0091
255,1.0602,1.0070
256,1.0595,0.9957
257,1.0587,0.9887
258,1.0579,1.0098
259,1.0572,0.9956
260,1.0564,1.0057
261,1.0557,1.0068
262,1.0550,0.9935
263,1.0542,0.9969
264,1.0535,1.0052
265,1.0528,1.0001
266,1.0521,1.0006
267,1.0514,0.9915
268,1.0507,0.9998
269,1.0500,1.0051
270,1.0493,1.0108
271,1.0487,1.0229
272,1.0480,1.0137
273,1.0474,1.0069
274,1.0467,0.9898
275,1.0460,1.0082
276,1.0453,0.9908
277,1.0447,1.0013
278,1.0440,1.0232
279,1.0434,1.0038
280,1.0427,1.0082
281,1.0420,0.9947
282,1.0414,0.9993
283,1.0408,1.0033
284,1.0401,1.0055
285,1.0395,1.0214
286,1.0389,1.0200
287,1.0383,1.0150
288,1.0376,1.0083
289,1.0370,0.9934
290,1.0364,0.9889
291,1.0358,0.9818
292,1.0352,1.0056
293,1.0345,0.9984
294,1.0339,0.9979
295,1.0333,1.0073
296,1.0327,1.0231
297,1.0321,1.0000
298,1.0315,0.9918
299,1.0309,0.9932
300,1.0303,0.9956
301,1.0297,0.9754
302,1.0292,0.9900
303,1.0286,0.9985
304,1.0280,0.9940
305,1.0274,1.0058
306,1.0268,0.9704
307,1.0263,0.9972
308,1.0257,0.9772
309,1.0252,0.9844
310,1.0246,0.9998
311,1.0240,0.9915
312,1.0235,0.9910
313,1.0229,0.9703
314,1.0224,0.9682
315,1.0218,0.9879
316,1.0213,0.9844
317,1.0208,0.9879
318,1.0202,0.9835
319,1.0197,0.9774
320,1.0192,0.9710
321,1.0186,0.9977
322,1.0181,0.9991
323,1.0176,0.9998
324,1.0171,0.9833
325,1.0166,0.9981
326,1.0160,0.9939
327,1.0155,1.0136
328,1.0150,0.9770
329,1.0145,0.9815
330,1.0140,0.9919
331,1.0135,0.9925
332,1.0130,1.0027
333,1.0125,0.9884
334,1.0120,0.9984
335,1.0115,1.0044
336,1.0110,0.9828
337,1.0105,1.0165
338,1.0101,0.9830
339,1.0096,1.0065
340,1.0091,0.9960
341,1.0086,0.9805
342,1.0082,0.9911
343,1.0077,1.0065
344,1.0072,0.9786
345,1.0068,1.0102
346,1.0063,1.0053
347,1.0058,0.9885
348,1.0054,0.9914
349,1.0049,0.9815
350,1.0044,0.9858
351,1.0040,1.0014
352,1.0035,1.0059
353,1.0031,0.9816
354,1.0027,0.9765
355,1.0022,0.9739
356,1.0018,0.9941
357,1.0013,0.9942
358,1.0009,0.9998
359,1.0005,1.0073
360,1.0000,0.9850
361,0.9997,0.9860
362,0.9993,0.9622
363,0.9988,0.9666
364,0.9984,0.9885
365,0.9980,0.9861
366,0.9976,1.0215
367,0.9971,0.9963
368,0.9967,0.9777
369,0.9963,0.9916
370,0.9959,0.9859
371,0.9955,0.9863
372,0.9950,0.9809
373,0.9946,0.9852
374,0.9942,0.9840
375,0.9938,1.0009
376,0.9934,0.9823
377,0.9930,0.9954
378,0.9926,0.9928
379,0.9922,0.9987
380,0.9918,0.9850
381,0.9914,0.9919
382,0.9910,0.9960
383,0.9906,0.9945
384,0.9902,0.9857
385,0.9898,0.9990
386,0.9894,0.9839
387,0.9890,0.9735
388,0.9886,0.9855
389,0.9882,0.9910
390,0.9878,0.9797
391,0.9875,0.9789
392,0.9871,0.9925
393,0.9867,0.9733
394,0.9863,0.9943
395,0.9859,0.9899
396,0.9855,0.9945
397,0.9852,0.9704
398,0.9848,0.9840
399,0.9844,0.9635
400,0.9841,0.9659
401,0.9837,0.9782
402,0.9833,0.9851
403,0.9829,0.9808
404,0.9826,1.0037
405,0.9822,0.9788
406,0.9818,0.9877
407,0.9815,0.9774
408,0.9811,0.9811
409,0.9808,0.9761
410,0.9804,0.9882
411,0.9800,0.9836
412,0.9797,0.9852
413,0.9793,0.9931
414,0.9790,1.0028
415,0.9786,0.9693
416,0.9783,0.9975
417,0.9779,1.0017
418,0.9776,0.9982
419,0.9772,0.9843
420,0.9769,0.9859
421,0.9765,0.9756
422,0.9762,0.9745
423,0.9759,1.0004
424,0.9756,1.0284
425,0.9753,0.9875
426,0.9750,0.9892
427,0.9746,0.9743
428,0.9743,0.9858
429,0.9740,0.9577
430,0.9736,0.9532
431,0.9733,0.9842
432,0.9730,1.0055
433,0.9727,1.0012
434,0.9723,1.0042
435,0.9720,0.9879
436,0.9717,0.9932
437,0.9714,0.9826
438,0.9710,0.9655
439,0.9707,0.9824
440,0.9704,0.9839
441,0.9701,0.9695
442,0.9697,0.9728
443,0.9694,0.9842
444,0.9691,0.9851
445,0.9688,1.0012
446,0.9685,0.9779
447,0.9683,0.9599
448,0.9679,0.9747
449,0.9676,0.9821
450,0.9673,0.9875
451,0.9670,0.9800
452,0.9667,0.9805
453,0.9664,0.9665
454,0.9661,0.9777
455,0.9658,0.9666
456,0.9655,0.9764
457,0.9652,0.9975
458,0.9649,0.9867
459,0.9646,0.9915
460,0.9643,0.9771
461,0.9640,0.9933
462,0.9637,0.9571
463,0.9634,0.9841
464,0.9631,0.9768
465,0.9628,0.9860
466,0.9625,0.9730
467,0.9622,0.9782
468,0.9619,0.9715
469,0.9616,0.9693
470,0.9613,0.9922
471,0.9610,0.9661
472,0.9607,0.9668
473,0.9604,0.9664
474,0.9602,0.9926
475,0.9599,0.9778
476,0.9596,0.9739
477,0.9593,0.9492
478,0.9590,0.9704
479,0.9587,0.9581
480,0.9584,0.9896
481,0.9582,0.9782
482,0.9579,0.9644
